Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2018-04-04 18:00:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:01:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:02:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:03:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:04:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:05:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:06:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:07:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:08:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:09:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:10:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:11:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:12:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:13:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:14:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:15:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:16:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:17:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:18:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:19:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:20:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:21:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:22:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:23:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:24:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:25:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:26:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:27:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:28:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:29:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:30:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:31:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:32:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:33:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:34:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:35:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:36:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:37:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:38:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:39:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:40:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:41:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:42:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:43:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:44:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:45:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:46:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:47:00,0,81,0,0,0,0,81,0,0,81,27.8427956510442,88.1223939538562,0.393755111500698
2018-04-04 18:48:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:49:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:50:00,0,81,0,0,0,0,81,0,0,81,27.637419017105,88.0309745650969,0.393346624508923
2018-04-04 18:51:00,0,81,0,0,0,0,81,0,0,81,32.4100833800152,90.2620821129265,0.403315827135507
2018-04-04 18:52:00,0,81,0,0,0,0,81,0,0,81,32.4100833800152,90.2620821129265,0.403315827135507
2018-04-04 18:53:00,0,81,0,0,0,0,81,0,0,81,32.4100833800152,90.2620821129265,0.403315827135507
2018-04-04 18:54:00,0,81,0,0,0,0,81,0,0,81,32.4100833800152,90.2620821129265,0.403315827135507
2018-04-04 18:55:00,0,81,0,0,0,0,81,0,0,81,32.4100833800152,90.2620821129265,0.403315827135507
2018-04-04 18:56:00,0,81,0,0,0,0,81,0,0,81,32.4100833800152,90.2620821129265,0.403315827135507
