Time,BA1_CFM,TO1_CFM,BA2_CFM,BA4_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-08-17 21:47:00,0,0,0,0,0,0,0,0,0,0,0,24.9227877837993,24.9227877837993,0.0506904158314562
2016-08-17 21:48:00,0,0,0,0,0,0,0,0,0,0,0,24.9227877837993,24.9227877837993,0.0506904158314562
2016-08-17 21:49:00,0,0,0,0,0,0,0,0,0,0,0,25.2137798928403,25.2137798928403,0.0512822641888277
2016-08-17 21:50:00,0,0,0,0,0,0,0,0,0,0,0,25.2137798928403,25.2137798928403,0.0512822641888277
2016-08-17 21:51:00,0,0,0,0,0,0,0,0,0,0,0,25.2137798928403,25.2137798928403,0.0512822641888277
2016-08-17 21:52:00,0,0,0,0,0,0,0,0,0,0,0,25.2137798928403,25.2137798928403,0.0512822641888277
2016-08-17 21:53:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 21:54:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 21:55:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 21:56:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 21:57:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 21:58:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 21:59:00,0,0,0,0,0,0,0,0,0,0,0,28.2010543820427,28.2010543820427,0.0573580767092394
2016-08-17 22:00:00,0,0,0,0,0,0,0,0,0,0,0,28.2010543820427,28.2010543820427,0.0573580767092394
2016-08-17 22:01:00,0,0,0,0,0,0,0,0,0,0,0,28.2010543820427,28.2010543820427,0.0573580767092394
2016-08-17 22:02:00,0,0,0,0,0,0,0,0,0,0,0,28.2010543820427,28.2010543820427,0.0573580767092394
2016-08-17 22:03:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:04:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:05:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:06:00,0,0,0,0,0,0,0,0,0,0,0,26.9424853124175,26.9424853124175,0.0547982752116966
2016-08-17 22:07:00,0,0,0,0,0,0,0,0,0,0,0,26.9424853124175,26.9424853124175,0.0547982752116966
2016-08-17 22:08:00,0,0,0,0,0,0,0,0,0,0,0,26.9424853124175,26.9424853124175,0.0547982752116966
2016-08-17 22:09:00,0,0,0,0,0,0,0,0,0,0,0,26.9424853124175,26.9424853124175,0.0547982752116966
2016-08-17 22:10:00,0,0,0,0,0,0,0,0,0,0,0,26.9424853124175,26.9424853124175,0.0547982752116966
2016-08-17 22:11:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:12:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:13:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:14:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:15:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:16:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:17:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:18:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:19:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:20:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:21:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:22:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:23:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:24:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:25:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 22:26:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 22:27:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 22:28:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 22:29:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 22:30:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 22:31:00,0,0,0,0,0,0,0,0,0,0,0,28.2010543820427,28.2010543820427,0.0573580767092394
2016-08-17 22:32:00,0,0,0,0,0,0,0,0,0,0,0,28.2010543820427,28.2010543820427,0.0573580767092394
2016-08-17 22:33:00,0,0,0,0,0,0,0,0,0,0,0,28.2010543820427,28.2010543820427,0.0573580767092394
2016-08-17 22:34:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 22:35:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:36:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:37:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:38:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:39:00,0,11,0,0,0,0,0,11,0,0,11,27.5753002198287,30.7120224050213,0.0624651303152975
2016-08-17 22:40:00,0,11,0,0,0,0,0,11,0,0,11,27.5753002198287,30.7120224050213,0.0624651303152975
2016-08-17 22:41:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:42:00,0,0,0,0,0,0,0,0,0,0,0,27.2597927395738,27.2597927395738,0.0554436462499806
2016-08-17 22:43:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:44:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:45:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:46:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:47:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:48:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:49:00,0,0,0,0,0,0,0,0,0,0,0,27.5753002198287,27.5753002198287,0.0560853563793126
2016-08-17 22:50:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 22:51:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 22:52:00,0,0,0,0,0,0,0,0,0,0,0,27.8890427705308,27.8890427705308,0.0567234768214186
2016-08-17 22:53:00,0,0,0,0,0,0,0,0,0,0,0,33.6280261790039,33.6280261790039,0.0683959854488215
2016-08-17 22:54:00,0,0,0,0,0,0,0,0,0,0,0,33.6280261790039,33.6280261790039,0.0683959854488215
2016-08-17 22:55:00,0,0,0,0,0,0,0,0,0,0,0,33.6280261790039,33.6280261790039,0.0683959854488215
2016-08-17 22:56:00,0,0,0,0,0,0,0,0,0,0,0,33.6280261790039,33.6280261790039,0.0683959854488215
2016-08-17 22:57:00,0,0,0,0,0,0,0,0,0,0,0,33.9021461331831,33.9021461331831,0.0689535175590165
2016-08-17 22:58:00,0,0,0,0,0,0,0,0,0,0,0,33.6280261790039,33.6280261790039,0.0683959854488215
2016-08-17 22:59:00,0,0,0,0,0,0,0,0,0,0,0,33.9021461331831,33.9021461331831,0.0689535175590165
2016-08-17 23:00:00,0,0,0,0,0,0,0,0,0,0,0,33.9021461331831,33.9021461331831,0.0689535175590165
2016-08-17 23:01:00,0,0,0,0,0,0,0,0,0,0,0,33.9021461331831,33.9021461331831,0.0689535175590165
2016-08-17 23:02:00,0,0,0,0,0,0,0,0,0,0,0,33.9021461331831,33.9021461331831,0.0689535175590165
2016-08-17 23:03:00,0,0,0,0,0,0,0,0,0,0,0,33.9021461331831,33.9021461331831,0.0689535175590165
2016-08-17 23:04:00,0,0,0,0,0,0,0,0,0,0,0,33.9021461331831,33.9021461331831,0.0689535175590165
2016-08-17 23:05:00,0,0,0,0,0,0,0,0,0,0,0,33.9021461331831,33.9021461331831,0.0689535175590165
2016-08-17 23:06:00,0,0,0,0,0,0,0,0,0,0,0,33.9021461331831,33.9021461331831,0.0689535175590165
2016-08-17 23:07:00,0,0,0,0,0,0,0,0,0,0,0,33.9021461331831,33.9021461331831,0.0689535175590165
2016-08-17 23:08:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:09:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:10:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:11:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:12:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:13:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:14:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:15:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:16:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:17:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:18:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:19:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:20:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:21:00,0,0,0,0,0,0,0,0,0,0,0,34.1753169806686,34.1753169806686,0.0695091192827158
2016-08-17 23:22:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:23:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:24:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:25:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:26:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:27:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:28:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:29:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:30:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:31:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:32:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:33:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:34:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:35:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:36:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:37:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:38:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:39:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:40:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:41:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:42:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:43:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:44:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:45:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:46:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:47:00,0,0,0,0,0,0,0,0,0,0,0,34.7188465392503,34.7188465392503,0.0706146031306786
2016-08-17 23:48:00,0,0,0,0,0,0,0,0,0,0,0,34.4475475153867,34.4475475153867,0.0700628085058713
2016-08-17 23:49:00,0,0,0,0,0,0,0,0,0,0,0,34.7188465392503,34.7188465392503,0.0706146031306786
2016-08-17 23:50:00,0,0,0,0,0,0,0,0,0,0,0,34.7188465392503,34.7188465392503,0.0706146031306786
2016-08-17 23:51:00,0,0,0,0,0,0,0,0,0,0,0,34.7188465392503,34.7188465392503,0.0706146031306786
2016-08-17 23:52:00,0,0,0,0,0,0,0,0,0,0,0,34.7188465392503,34.7188465392503,0.0706146031306786
2016-08-17 23:53:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-17 23:54:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-17 23:55:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-17 23:56:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-17 23:57:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-17 23:58:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-17 23:59:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:01:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:02:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:03:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:04:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:05:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:06:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:07:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:08:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:09:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:10:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:11:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:12:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:13:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:14:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:15:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:16:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:17:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:18:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:19:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:20:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:21:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:22:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:23:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:24:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:25:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:26:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:27:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:28:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:29:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:30:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:31:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:32:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:33:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:34:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:35:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:36:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:37:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:38:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:39:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:40:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:41:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:42:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:43:00,0,0,0,0,0,0,0,0,0,0,0,37.1622078978388,37.1622078978388,0.0755841516566213
2016-08-18 00:44:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:45:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:46:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:47:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:48:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:49:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:50:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:51:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:52:00,0,0,0,0,0,0,0,0,0,0,0,37.4321166794743,37.4321166794743,0.0761331186701172
2016-08-18 00:53:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 00:54:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 00:55:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 00:56:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 00:57:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 00:58:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 00:59:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:00:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:01:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:02:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:03:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:04:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:05:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:06:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:07:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:08:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:09:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:10:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:11:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:12:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:13:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:14:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:15:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:16:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:17:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:18:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:19:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:20:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:21:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:22:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:23:00,0,0,0,0,0,0,0,0,0,0,0,37.0015236470991,37.0015236470991,0.075257336231388
2016-08-18 01:24:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:25:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:26:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:27:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:28:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:29:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:30:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:31:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:32:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:33:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:34:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:35:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:36:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
2016-08-18 01:37:00,0,0,0,0,0,0,0,0,0,0,0,36.7284506744192,36.7284506744192,0.0747019335750899
